Uhrzeit;Netzbezug [kW];Netzeinspeisung [kW];Stromverbrauch [kW];Akkubeladung [kW];Akkuentnahme [kW];Stromerzeugung [kW];Akku Spannung [V];Akku Stromstärke [A]
26.09.2022 13:13:09;0,005859;0,011719;0,433594;0,908203;0;1,359375;56,040001;15,26
26.09.2022 13:18:09;0,164063;0,035156;1,224609;0,515625;0,290039;1,289063;56,032001;16,870001
26.09.2022 13:23:11;0,00291;0,023282;0,448184;1,004049;0;1,490066;56,227001;19,290001
26.09.2022 13:28:14;0;0,011603;0,417698;1,160272;0;1,601176;56,418999;22,67
26.09.2022 13:33:16;0,081488;0,093129;0,826521;0,957484;0;1,769454;56,362999;2,45
26.09.2022 13:38:15;0,079366;0,105821;0,79954;0,920059;0;1,763691;56,645;22,08
26.09.2022 13:43:17;0,10477;0,058206;0,663545;0,893458;0,014551;1,466784;56,636002;8,92
26.09.2022 13:48:19;0,136783;0,069847;0,797418;0,570416;0,066937;1,257243;56,726002;14,16
26.09.2022 13:53:21;0,064026;0,069847;0,669366;0,558775;0,09895;1,140832;56,778999;15,49
26.09.2022 13:58:23;0,008731;0,023282;0,314311;0,81197;0;1,11755;56,856998;10,43
26.09.2022 14:03:25;0,055295;0,058206;0,622801;0,436543;0,130963;0,954574;56,861;10,48
26.09.2022 14:08:25;0,00293;0,011719;0,316406;0,530273;0;0,84375;56,896999;7,92
26.09.2022 14:13:28;0,005801;0,011603;0,348082;0,29877;0;0,672958;56,868999;2,76
26.09.2022 14:18:29;0,00584;0,02336;0,362074;0,072999;0;0,443833;56,847;0,86
26.09.2022 14:23:33;0,005782;0,011565;0,38163;0,078061;0;0,439453;56,859001;2,24
26.09.2022 14:28:34;0,00292;0,01168;0,385434;0,172277;0;0,583991;56,894001;4,05
26.09.2022 14:33:35;0,046719;0,046719;2,125727;0,093439;1,404498;0,817587;56,735001;8,68
26.09.2022 14:38:37;0,00291;0,023282;0,459825;0,587878;0;1,070985;56,874001;11,48
26.09.2022 14:43:39;0,005821;0,011641;0,448184;0,631532;0;1,094267;56,943001;9,76
26.09.2022 14:48:42;0,04061;0,011603;1,74621;0,21465;0,960125;0,974629;56,473999;-30,379999
26.09.2022 14:53:43;0,00292;0,01168;2,604599;0;1,611815;0,981105;56,278;-27,870001
